Year,Area,Item,Production Value (t)
2000,India,Barley,1447000.0
2000,India,"Cereals, primary",234931192.0
2000,India,"Hen eggs in shell, fresh",38667000.0
2000,India,"Meat, Total",3731690.02
2000,India,"Milk, Total",79675100.01
2000,India,Raw milk of cattle,32967000.0
2000,India,Wheat,76368896.0
2000,Ireland,Barley,1309900.0
2000,Ireland,"Cereals, primary",2177490.65
2000,Ireland,"Hen eggs in shell, fresh",597376.0
2000,Ireland,"Meat, Total",1016480.0
2000,Ireland,"Milk, Total",5159788.0
2000,Ireland,Raw milk of cattle,5159788.0
2000,Ireland,Wheat,737400.0
2000,Italy,Barley,1261600.0
2000,Italy,"Cereals, primary",20660952.0
2000,Italy,"Hen eggs in shell, fresh",12938100.0
2000,Italy,"Meat, Total",3911240.21
2000,Italy,"Milk, Total",13299200.0
2000,Italy,Raw milk of cattle,12309400.0
2000,Italy,Wheat,7463968.0
2000,Netherlands (Kingdom of the),Barley,287800.0
2000,Netherlands (Kingdom of the),"Cereals, primary",1732100.0
2000,Netherlands (Kingdom of the),"Hen eggs in shell, fresh",11731000.0
2000,Netherlands (Kingdom of the),"Meat, Total",2880045.4
2000,Netherlands (Kingdom of the),"Milk, Total",11155000.0
2000,Netherlands (Kingdom of the),Raw milk of cattle,11155000.0
2000,Netherlands (Kingdom of the),Wheat,1142700.0
2000,New Zealand,Barley,302000.0
2000,New Zealand,"Cereals, primary",855510.63
2000,New Zealand,"Hen eggs in shell, fresh",811007.0
2000,New Zealand,"Meat, Total",1303226.2
2000,New Zealand,"Milk, Total",12235392.0
2000,New Zealand,Raw milk of cattle,12235392.0
2000,New Zealand,Wheat,326000.0
2000,Poland,Barley,2783359.0
2000,Poland,"Cereals, primary",22340612.0
2000,Poland,"Hen eggs in shell, fresh",8045053.0
2000,Poland,"Meat, Total",2888000.0
2000,Poland,"Milk, Total",11890380.0
2000,Poland,Raw milk of cattle,11889349.0
2000,Poland,Wheat,8502865.0
2000,Romania,Barley,867018.0
2000,Romania,"Cereals, primary",10477506.0
2000,Romania,"Hen eggs in shell, fresh",5519850.0
2000,Romania,"Meat, Total",983866.54
2000,Romania,"Milk, Total",4622059.0
2000,Romania,Raw milk of cattle,4301259.0
2000,Romania,Wheat,4434438.0
2000,Spain,Barley,11063008.0
2000,Spain,"Cereals, primary",24581638.63
2000,Spain,"Hen eggs in shell, fresh",12399552.0
2000,Spain,"Meat, Total",4915447.89
2000,Spain,"Milk, Total",6937212.0
2000,Spain,Raw milk of cattle,6106628.0
2000,Spain,Wheat,7293623.0
2000,Sweden,Barley,1615400.0
2000,Sweden,"Cereals, primary",5604200.0
2000,Sweden,"Hen eggs in shell, fresh",1802000.0
2000,Sweden,"Meat, Total",542818.0
2000,Sweden,"Milk, Total",3348000.0
2000,Sweden,Raw milk of cattle,3348000.0
2000,Sweden,Wheat,2371900.0
2000,United States of America,Barley,6919370.0
2000,United States of America,"Cereals, primary",342631506.0
2000,United States of America,"Hen eggs in shell, fresh",89734000.0
2000,United States of America,"Meat, Total",37565210.78
2000,United States of America,"Milk, Total",75953489.03
2000,United States of America,Raw milk of cattle,75928209.0
2000,United States of America,Wheat,60639376.0
2001,Argentina,Barley,530045.0
2001,Argentina,"Cereals, primary",36655385.0
2001,Argentina,"Hen eggs in shell, fresh",5693276.0
2001,Argentina,"Meat, Total",3843194.36
2001,Argentina,"Milk, Total",9768725.0
2001,Argentina,Raw milk of cattle,9768725.0
2001,Argentina,Wheat,16146620.0
2001,Australia,Barley,6743000.0
2001,Australia,"Cereals, primary",34717520.71
2001,Australia,"Hen eggs in shell, fresh",2607000.0
2001,Australia,"Meat, Total",3853184.0
2001,Australia,"Milk, Total",10547000.0
2001,Australia,Raw milk of cattle,10547000.0
2001,Australia,Wheat,22108000.0
2001,Austria,Barley,1012407.0
2001,Austria,"Cereals, primary",4837093.57
2001,Austria,"Hen eggs in shell, fresh",1521566.0
2001,Austria,"Meat, Total",832034.0
2001,Austria,"Milk, Total",3323656.0
2001,Austria,Raw milk of cattle,3299567.0
2001,Austria,Wheat,1508283.0
2001,Belgium,Barley,368700.0
2001,Belgium,"Cereals, primary",2358600.0
2001,Belgium,"Hen eggs in shell, fresh",3941944.0
2001,Belgium,"Meat, Total",1772164.0
2001,Belgium,"Milk, Total",3697300.0
2001,Belgium,Raw milk of cattle,3694000.0
2001,Belgium,Wheat,1457400.0
2001,Brazil,Barley,297824.0
2001,Brazil,"Cereals, primary",57125393.44
2001,Brazil,"Hen eggs in shell, fresh",32322011.0
2001,Brazil,"Meat, Total",15964800.0
2001,Brazil,"Milk, Total",21397687.14
2001,Brazil,Raw milk of cattle,21145800.0
2001,Brazil,Wheat,3366599.0
2001,Canada,Barley,10845600.0
2001,Canada,"Cereals, primary",43391400.0
2001,Canada,"Hen eggs in shell, fresh",7185238.0
2001,Canada,"Meat, Total",4153401.0
2001,Canada,"Milk, Total",8106000.0
2001,Canada,Raw milk of cattle,8106000.0
2001,Canada,Wheat,20630200.0
2001,China,Barley,2893000.0
2001,China,"Cereals, primary",398396119.03
2001,China,"Hen eggs in shell, fresh",402228144.48
2001,China,"Meat, Total",62976854.57
2001,China,"Milk, Total",14515456.03
2001,China,Raw milk of cattle,10601189.0
2001,China,Wheat,93873234.0
2001,Denmark,Barley,3966181.0
2001,Denmark,"Cereals, primary",9423086.0
2001,Denmark,"Hen eggs in shell, fresh",1425487.0
2001,Denmark,"Meat, Total",2090981.51
2001,Denmark,"Milk, Total",4553000.0
2001,Denmark,Raw milk of cattle,4553000.0
2001,Denmark,Wheat,4663938.0
2001,Finland,Barley,1786000.0
2001,Finland,"Cereals, primary",3671300.0
2001,Finland,"Hen eggs in shell, fresh",953520.0
2001,Finland,"Meat, Total",351414.0
2001,Finland,"Milk, Total",2529600.0
2001,Finland,Raw milk of cattle,2529600.0
2001,Finland,Wheat,488900.0
2001,France,Barley,9797468.3
2001,France,"Cereals, primary",60300838.1
2001,France,"Hen eggs in shell, fresh",14548622.0
2001,France,"Meat, Total",6388404.0
2001,France,"Milk, Total",23806712.0
2001,France,Raw milk of cattle,23074188.4
2001,France,Wheat,31545319.3
2001,Germany,Barley,13494587.0
2001,Germany,"Cereals, primary",49709326.0
2001,Germany,"Hen eggs in shell, fresh",15054000.0
2001,Germany,"Meat, Total",6415452.35
2001,Germany,"Milk, Total",28213000.0
2001,Germany,Raw milk of cattle,28191000.0
2001,Germany,Wheat,22837837.0
2001,Hungary,Barley,1299140.0
2001,Hungary,"Cereals, primary",15045901.0
2001,Hungary,"Hen eggs in shell, fresh",3467362.0
2001,Hungary,"Meat, Total",1101363.65
2001,Hungary,"Milk, Total",2157356.0
2001,Hungary,Raw milk of cattle,2142173.0
2001,Hungary,Wheat,5196760.0
2001,India,Barley,1430600.0
2001,India,"Cereals, primary",242963796.0
2001,India,"Hen eggs in shell, fresh",40880000.0
2001,India,"Meat, Total",3922290.02
2001,India,"Milk, Total",83432578.47
2001,India,Raw milk of cattle,34516000.0
2001,India,Wheat,69680896.0
2001,Ireland,Barley,1277200.0
2001,Ireland,"Cereals, primary",2169040.7
2001,Ireland,"Hen eggs in shell, fresh",581350.0
2001,Ireland,"Meat, Total",1031580.0
2001,Ireland,"Milk, Total",5381800.0
2001,Ireland,Raw milk of cattle,5381800.0
2001,Ireland,Wheat,769200.0
2001,Italy,Barley,1125700.0
2001,Italy,"Cereals, primary",19933158.0
2001,Italy,"Hen eggs in shell, fresh",13548800.0
2001,Italy,"Meat, Total",3979815.76
2001,Italy,"Milk, Total",12329361.0
2001,Italy,Raw milk of cattle,11275100.0
2001,Italy,Wheat,6413300.0
2001,Netherlands (Kingdom of the),Barley,386800.0
2001,Netherlands (Kingdom of the),"Cereals, primary",1671600.0
2001,Netherlands (Kingdom of the),"Hen eggs in shell, fresh",11531000.0
2001,Netherlands (Kingdom of the),"Meat, Total",2595446.8
2001,Netherlands (Kingdom of the),"Milk, Total",10970000.0
2001,Netherlands (Kingdom of the),Raw milk of cattle,10970000.0
2001,Netherlands (Kingdom of the),Wheat,990700.0
2001,New Zealand,Barley,365000.0
2001,New Zealand,"Cereals, primary",940392.84
2001,New Zealand,"Hen eggs in shell, fresh",827898.0
2001,New Zealand,"Meat, Total",1349348.37
2001,New Zealand,"Milk, Total",13119412.0
2001,New Zealand,Raw milk of cattle,13119412.0
2001,New Zealand,Wheat,364000.0
2001,Poland,Barley,3330484.0
2001,Poland,"Cereals, primary",26960313.0
2001,Poland,"Hen eggs in shell, fresh",8530385.0
2001,Poland,"Meat, Total",2890400.0
2001,Poland,"Milk, Total",11885068.0
2001,Poland,Raw milk of cattle,11883986.0
2001,Poland,Wheat,9283044.0
2001,Romania,Barley,1580048.0
2001,Romania,"Cereals, primary",18870926.0
2001,Romania,"Hen eggs in shell, fresh",5800200.0
2001,Romania,"Meat, Total",947979.01
2001,Romania,"Milk, Total",4780453.0
2001,Romania,Raw milk of cattle,4457353.0
2001,Romania,Wheat,7735136.0
2001,Spain,Barley,6249139.0
2001,Spain,"Cereals, primary",18078871.22
2001,Spain,"Hen eggs in shell, fresh",12595968.0
2001,Spain,"Meat, Total",5057794.24
2001,Spain,"Milk, Total",7213310.0
2001,Spain,Raw milk of cattle,6330410.0
2001,Spain,Wheat,5007698.0
2001,Sweden,Barley,1623000.0
2001,Sweden,"Cereals, primary",5382000.0
2001,Sweden,"Hen eggs in shell, fresh",1727900.0
2001,Sweden,"Meat, Total",540879.0
2001,Sweden,"Milk, Total",3339000.0
2001,Sweden,Raw milk of cattle,3339000.0
2001,Sweden,Wheat,2371500.0
2001,United States of America,Barley,5406730.0
2001,United States of America,"Cereals, primary",324994633.58
2001,United States of America,"Hen eggs in shell, fresh",91192000.0
2001,United States of America,"Meat, Total",38252104.15
2001,United States of America,"Milk, Total",75020230.39
2001,United States of America,Raw milk of cattle,74993355.0
2001,United States of America,Wheat,52999932.0
2002,Argentina,Barley,549830.0
2002,Argentina,"Cereals, primary",35057269.0
2002,Argentina,"Hen eggs in shell, fresh",4812100.0
2002,Argentina,"Meat, Total",3562103.99
2002,Argentina,"Milk, Total",8793400.0
2002,Argentina,Raw milk of cattle,8793400.0
2002,Argentina,Wheat,15427820.0
2002,Australia,Barley,8279769.0
2002,Australia,"Cereals, primary",38590113.0
2002,Australia,"Hen eggs in shell, fresh",2587500.0
2002,Australia,"Meat, Total",3895830.0
2002,Australia,"Milk, Total",11271000.0
2002,Australia,Raw milk of cattle,11271000.0
2002,Australia,Wheat,24299335.0
2002,Austria,Barley,861391.0
2002,Austria,"Cereals, primary",4762611.9
2002,Austria,"Hen eggs in shell, fresh",1554444.0
2002,Austria,"Meat, Total",850636.0
2002,Austria,"Milk, Total",3316366.0
2002,Austria,Raw milk of cattle,3292203.0
2002,Austria,Wheat,1434208.07
2002,Belgium,Barley,342700.0
2002,Belgium,"Cereals, primary",2639300.0
2002,Belgium,"Hen eggs in shell, fresh",3640306.0
2002,Belgium,"Meat, Total",1820397.0
2002,Belgium,"Milk, Total",3472830.0
2002,Belgium,Raw milk of cattle,3469000.0
2002,Belgium,Wheat,1675000.0
2002,Brazil,Barley,244600.0
2002,Brazil,"Cereals, primary",50875594.0
2002,Brazil,"Hen eggs in shell, fresh",32498060.0
2002,Brazil,"Meat, Total",17298391.0
2002,Brazil,"Milk, Total",22562434.03
2002,Brazil,Raw milk of cattle,22314700.0
2002,Brazil,Wheat,3105660.0
2002,Canada,Barley,7467700.0
2002,Canada,"Cereals, primary",36046900.0
2002,Canada,"Hen eggs in shell, fresh",7354962.0
2002,Canada,"Meat, Total",4301177.34
2002,Canada,"Milk, Total",7964000.0
2002,Canada,Raw milk of cattle,7964000.0
2002,Canada,Wheat,15961300.0
2002,China,Barley,3322000.0
2002,China,"Cereals, primary",398687732.03
2002,China,"Hen eggs in shell, fresh",412837864.29
2002,China,"Meat, Total",64221597.42
2002,China,"Milk, Total",17334325.41
2002,China,Raw milk of cattle,13355933.0
2002,China,Wheat,90290262.0
2002,Denmark,Barley,4120861.0
2002,Denmark,"Cereals, primary",8803709.0
2002,Denmark,"Hen eggs in shell, fresh",1441600.0
2002,Denmark,"Meat, Total",2135645.27
2002,Denmark,"Milk, Total",4590000.0
2002,Denmark,Raw milk of cattle,4590000.0
2002,Denmark,Wheat,4056240.0
2002,Finland,Barley,1738700.0
2002,Finland,"Cereals, primary",3937800.0
2002,Finland,"Hen eggs in shell, fresh",922950.0
2002,Finland,"Meat, Total",373290.0
2002,Finland,"Milk, Total",2532050.0
2002,Finland,Raw milk of cattle,2532050.0
2002,Finland,Wheat,568600.0
2002,France,Barley,10974839.6
2002,France,"Cereals, primary",69700574.9
2002,France,"Hen eggs in shell, fresh",15083835.0
2002,France,"Meat, Total",6368200.0
2002,France,"Milk, Total",24194094.5
2002,France,Raw milk of cattle,23435685.3
2002,France,Wheat,38936514.8
2002,Germany,Barley,10927970.0
2002,Germany,"Cereals, primary",43391325.0
2002,Germany,"Hen eggs in shell, fresh",15130000.0
2002,Germany,"Meat, Total",6425212.19
2002,Germany,"Milk, Total",27899440.0
2002,Germany,Raw milk of cattle,27874440.0
2002,Germany,Wheat,20817740.0
2002,Hungary,Barley,1045872.0
2002,Hungary,"Cereals, primary",11703295.0
2002,Hungary,"Hen eggs in shell, fresh",3620441.0
2002,Hungary,"Meat, Total",1162831.31
2002,Hungary,"Milk, Total",2143107.0
2002,Hungary,Raw milk of cattle,2129795.0
2002,Hungary,Wheat,3910244.0
2002,India,Barley,1424500.0
2002,India,"Cereals, primary",206636708.0
2002,India,"Hen eggs in shell, fresh",42035000.0
2002,India,"Meat, Total",4254360.02
2002,India,"Milk, Total",84773080.26
2002,India,Raw milk of cattle,34612000.0
2002,India,Wheat,72766304.0
2002,Ireland,Barley,962800.0
2002,Ireland,"Cereals, primary",1966954.95
2002,Ireland,"Hen eggs in shell, fresh",616231.0
2002,Ireland,"Meat, Total",960880.0
2002,Ireland,"Milk, Total",5368000.0
2002,Ireland,Raw milk of cattle,5368000.0
2002,Ireland,Wheat,867200.0
2002,Italy,Barley,1190326.0
2002,Italy,"Cereals, primary",21248429.0
2002,Italy,"Hen eggs in shell, fresh",13575300.0
2002,Italy,"Meat, Total",4020558.34
2002,Italy,"Milk, Total",12374452.0
2002,Italy,Raw milk of cattle,11300092.0
2002,Italy,Wheat,7547763.0
2002,Netherlands (Kingdom of the),Barley,315300.0
2002,Netherlands (Kingdom of the),"Cereals, primary",1655207.0
2002,Netherlands (Kingdom of the),"Hen eggs in shell, fresh",11180000.0
2002,Netherlands (Kingdom of the),"Meat, Total",2535822.0
2002,Netherlands (Kingdom of the),"Milk, Total",10677000.0
2002,Netherlands (Kingdom of the),Raw milk of cattle,10677000.0
2002,Netherlands (Kingdom of the),Wheat,1056640.0
2002,New Zealand,Barley,440883.0
2002,New Zealand,"Cereals, primary",939377.0
2002,New Zealand,"Hen eggs in shell, fresh",861167.0
2002,New Zealand,"Meat, Total",1290902.4
2002,New Zealand,"Milk, Total",13865939.0
2002,New Zealand,Raw milk of cattle,13865939.0
2002,New Zealand,Wheat,301499.0
2002,Poland,Barley,3369850.0
2002,Poland,"Cereals, primary",26877272.0
2002,Poland,"Hen eggs in shell, fresh",9420668.0
2002,Poland,"Meat, Total",3148358.17
2002,Poland,"Milk, Total",11873584.0
2002,Poland,Raw milk of cattle,11872686.0
2002,Poland,Wheat,9304000.0
2002,Romania,Barley,1160387.0
2002,Romania,"Cereals, primary",14356504.0
2002,Romania,"Hen eggs in shell, fresh",6059550.0
2002,Romania,"Meat, Total",1033881.77
2002,Romania,"Milk, Total",4982338.0
2002,Romania,Raw milk of cattle,4637438.0
2002,Romania,Wheat,4420995.0
2002,Spain,Barley,8362328.0
2002,Spain,"Cereals, primary",21742197.89
2002,Spain,"Hen eggs in shell, fresh",13847290.0
2002,Spain,"Meat, Total",5347032.27
2002,Spain,"Milk, Total",7337500.0
2002,Spain,Raw milk of cattle,6417900.0
2002,Spain,Wheat,6822160.0
2002,Sweden,Barley,1757200.0
2002,Sweden,"Cereals, primary",5398400.0
2002,Sweden,"Hen eggs in shell, fresh",1658400.0
2002,Sweden,"Meat, Total",557826.0
2002,Sweden,"Milk, Total",3274000.0
2002,Sweden,Raw milk of cattle,3274000.0
2002,Sweden,Wheat,2088100.0
2002,United States of America,Barley,4940300.0
2002,United States of America,"Cereals, primary",297143451.84
2002,United States of America,"Hen eggs in shell, fresh",92419000.0
2002,United States of America,"Meat, Total",38715587.4
2002,United States of America,"Milk, Total",77167809.38
2002,United States of America,Raw milk of cattle,77139301.0
2002,United States of America,Wheat,43703968.0
2003,Argentina,Barley,1005460.0
2003,Argentina,"Cereals, primary",32473165.0
2003,Argentina,"Hen eggs in shell, fresh",5713440.0
2003,Argentina,"Meat, Total",3757198.61
2003,Argentina,"Milk, Total",8197480.0
2003,Argentina,Raw milk of cattle,8197480.0
2003,Argentina,Wheat,12399040.0
2003,Australia,Barley,3864833.0
2003,Australia,"Cereals, primary",17553202.0
2003,Australia,"Hen eggs in shell, fresh",2418870.0
2003,Australia,"Meat, Total",3754621.0
2003,Australia,"Milk, Total",10328000.0
2003,Australia,Raw milk of cattle,10328000.0
2003,Australia,Wheat,10131924.0
2003,Austria,Barley,882322.0
2003,Austria,"Cereals, primary",4269509.66
2003,Austria,"Hen eggs in shell, fresh",1503956.0
2003,Austria,"Meat, Total",853484.0
2003,Austria,"Milk, Total",3252847.0
2003,Austria,Raw milk of cattle,3229885.0
2003,Austria,Wheat,1191380.0
2003,Belgium,Barley,270857.0
2003,Belgium,"Cereals, primary",2560990.0
2003,Belgium,"Hen eggs in shell, fresh",3602945.0
2003,Belgium,"Meat, Total",1738835.5
2003,Belgium,"Milk, Total",3405890.0
2003,Belgium,Raw milk of cattle,3400000.0
2003,Belgium,Wheat,1640364.0
2003,Brazil,Barley,345320.0
2003,Brazil,"Cereals, primary",67454328.6
2003,Brazil,"Hen eggs in shell, fresh",32994196.0
2003,Brazil,"Meat, Total",18377007.0
2003,Brazil,"Milk, Total",23191337.69
2003,Brazil,Raw milk of cattle,22943732.0
2003,Brazil,Wheat,6153500.0
2003,Canada,Barley,12164200.0
2003,Canada,"Cereals, primary",49197200.0
2003,Canada,"Hen eggs in shell, fresh",7401394.0
2003,Canada,"Meat, Total",4232930.0
2003,Canada,"Milk, Total",7734000.0
2003,Canada,Raw milk of cattle,7734000.0
2003,Canada,Wheat,23048600.0
2003,China,Barley,3249500.0
2003,China,"Cereals, primary",376654603.03
2003,China,"Hen eggs in shell, fresh",423843120.0
2003,China,"Meat, Total",66250144.4
2003,China,"Milk, Total",21869926.84
2003,China,Raw milk of cattle,17817517.0
2003,China,Wheat,86488264.0
2003,Denmark,Barley,3775593.0
2003,Denmark,"Cereals, primary",9050937.0
2003,Denmark,"Hen eggs in shell, fresh",1431000.0
2003,Denmark,"Meat, Total",2114040.95
2003,Denmark,"Milk, Total",4675000.0
2003,Denmark,Raw milk of cattle,4675000.0
2003,Denmark,Wheat,4701382.0
2003,Finland,Barley,1697400.0
2003,Finland,"Cereals, primary",3791000.0
2003,Finland,"Hen eggs in shell, fresh",948200.0
2003,Finland,"Meat, Total",390363.0
2003,Finland,"Milk, Total",2471690.0
2003,Finland,Raw milk of cattle,2471690.0
2003,Finland,Wheat,679000.0
2003,France,Barley,9848186.4
2003,France,"Cereals, primary",55099556.8
2003,France,"Hen eggs in shell, fresh",15149919.0
2003,France,"Meat, Total",6242554.0
2003,France,"Milk, Total",23690798.1
2003,France,Raw milk of cattle,22910910.7
2003,France,Wheat,30479361.5
2003,Germany,Barley,10595573.0
2003,Germany,"Cereals, primary",39426039.0
2003,Germany,"Hen eggs in shell, fresh",13413360.0
2003,Germany,"Meat, Total",6526472.0
2003,Germany,"Milk, Total",28563320.0
2003,Germany,Raw milk of cattle,28533320.0
2003,Germany,Wheat,19259811.0
2003,Hungary,Barley,810185.0
2003,Hungary,"Cereals, primary",8769586.0
2003,Hungary,"Hen eggs in shell, fresh",3623791.0
2003,Hungary,"Meat, Total",1059261.64
2003,Hungary,"Milk, Total",2044304.0
2003,Hungary,Raw milk of cattle,2036620.0
2003,Hungary,Wheat,2941248.0
2003,India,Barley,1407400.0
2003,India,"Cereals, primary",236592700.0
2003,India,"Hen eggs in shell, fresh",42647000.0
2003,India,"Meat, Total",4533610.02
2003,India,"Milk, Total",86672594.46
2003,India,Raw milk of cattle,34973000.0
2003,India,Wheat,65760800.0
2003,Ireland,Barley,1197700.0
2003,Ireland,"Cereals, primary",2152352.89
2003,Ireland,"Hen eggs in shell, fresh",590863.0
2003,Ireland,"Meat, Total",974380.0
2003,Ireland,"Milk, Total",5310140.0
2003,Ireland,Raw milk of cattle,5310140.0
2003,Ireland,Wheat,794100.0
2003,Italy,Barley,1020800.0
2003,Italy,"Cereals, primary",17864361.0
2003,Italy,"Hen eggs in shell, fresh",13556400.0
2003,Italy,"Meat, Total",3841146.2
2003,Italy,"Milk, Total",12335619.0
2003,Italy,Raw milk of cattle,11307049.0
2003,Italy,Wheat,6229453.0
2003,Netherlands (Kingdom of the),Barley,349067.0
2003,Netherlands (Kingdom of the),"Cereals, primary",1739331.0
2003,Netherlands (Kingdom of the),"Hen eggs in shell, fresh",8137000.0
2003,Netherlands (Kingdom of the),"Meat, Total",2231496.0
2003,Netherlands (Kingdom of the),"Milk, Total",11075000.0
2003,Netherlands (Kingdom of the),Raw milk of cattle,11075000.0
2003,Netherlands (Kingdom of the),Wheat,1130100.0
2003,New Zealand,Barley,371837.0
2003,New Zealand,"Cereals, primary",944472.0
2003,New Zealand,"Hen eggs in shell, fresh",870124.0
2003,New Zealand,"Meat, Total",1396633.76
2003,New Zealand,"Milk, Total",14349000.0
2003,New Zealand,Raw milk of cattle,14349000.0
2003,New Zealand,Wheat,318916.0
2003,Poland,Barley,2831485.0
2003,Poland,"Cereals, primary",23390757.0
2003,Poland,"Hen eggs in shell, fresh",9677403.0
2003,Poland,"Meat, Total",3242010.29
2003,Poland,"Milk, Total",11927369.0
2003,Poland,Raw milk of cattle,11892323.0
2003,Poland,Wheat,7858160.0
2003,Romania,Barley,540849.0
2003,Romania,"Cereals, primary",12964404.0
2003,Romania,"Hen eggs in shell, fresh",6329400.0
2003,Romania,"Meat, Total",1137257.74
2003,Romania,"Milk, Total",5216849.0
2003,Romania,Raw milk of cattle,4852149.0
2003,Romania,Wheat,2479052.0
2003,Spain,Barley,8698400.0
2003,Spain,"Cereals, primary",21445314.48
2003,Spain,"Hen eggs in shell, fresh",14490263.0
2003,Spain,"Meat, Total",5482275.3
2003,Spain,"Milk, Total",7341400.0
2003,Spain,Raw milk of cattle,6443300.0
2003,Spain,Wheat,6290100.0
2003,Sweden,Barley,1528400.0
2003,Sweden,"Cereals, primary",5290000.0
2003,Sweden,"Hen eggs in shell, fresh",1630300.0
2003,Sweden,"Meat, Total",552200.0
2003,Sweden,"Milk, Total",3253000.0
2003,Sweden,Raw milk of cattle,3253000.0
2003,Sweden,Wheat,2256200.0
2003,United States of America,Barley,6058900.0
2003,United States of America,"Cereals, primary",348247631.26
2003,United States of America,"Hen eggs in shell, fresh",92699000.0
2003,United States of America,"Meat, Total",39464439.08
2003,United States of America,"Milk, Total",77295457.84
2003,United States of America,Raw milk of cattle,77268575.0
2003,United States of America,Wheat,63803256.0
2004,Argentina,Barley,894610.0
2004,Argentina,"Cereals, primary",34193141.0
2004,Argentina,"Hen eggs in shell, fresh",6823740.0
2004,Argentina,"Meat, Total",4271527.77
2004,Argentina,"Milk, Total",9444070.0
2004,Argentina,Raw milk of cattle,9444070.0
2004,Argentina,Wheat,14710175.0
2004,Australia,Barley,10381827.8
2004,Australia,"Cereals, primary",42384121.8
2004,Australia,"Hen eggs in shell, fresh",2448540.0
2004,Australia,"Meat, Total",3851694.0
2004,Australia,"Milk, Total",10076000.0
2004,Australia,Raw milk of cattle,10076000.0
2004,Australia,Wheat,26131870.0
2004,Austria,Barley,1006742.37
2004,Austria,"Cereals, primary",5323713.99
2004,Austria,"Hen eggs in shell, fresh",1537696.0
2004,Austria,"Meat, Total",855627.0
2004,Austria,"Milk, Total",3158238.0
2004,Austria,Raw milk of cattle,3137322.0
