Area,Item,Year,Export Quantity (t),Export Value (1000 USD),Import Quantity (t),Import Value (1000 USD)
Argentina,"Milk, Total",2003,883497.39,211592.0,65386.0,14735.0
Argentina,"Milk, Total",2004,1518849.28,417674.0,45398.9,9511.0
Argentina,"Milk, Total",2005,1394858.78,430499.0,33773.5,10564.0
Argentina,"Milk, Total",2006,1898182.18,565630.0,5753.9,3169.0
Argentina,"Milk, Total",2007,955159.09,411023.0,7798.0,4483.0
Argentina,"Milk, Total",2008,1019233.29,550636.0,4210.5,4618.0
Argentina,"Milk, Total",2009,1334176.88,436063.0,7373.9,4681.0
Argentina,"Milk, Total",2010,1226850.58,592215.0,16986.9,11811.0
Argentina,"Milk, Total",2011,1826405.18,1027344.0,5350.8,4758.0
Argentina,"Milk, Total",2012,1783941.28,894595.0,23059.7,14318.0
Argentina,"Milk, Total",2013,1724137.08,1022835.0,11165.4,8015.0
Argentina,"Milk, Total",2014,1361946.1,881429.31,5960.17,5157.39
Argentina,"Milk, Total",2015,1298596.3,597769.82,5081.2,4069.75
Argentina,"Milk, Total",2016,1071482.6,380409.21,5207.56,3272.71
Argentina,"Milk, Total",2017,724314.37,313283.89,12581.15,9904.33
Argentina,"Milk, Total",2018,1129119.7,437213.48,12012.54,8876.23
Argentina,"Milk, Total",2019,967890.26,405478.43,22270.86,11833.05
Argentina,"Milk, Total",2020,1402138.77,567851.39,4948.11,4273.76
Argentina,"Milk, Total",2021,1189621.11,549341.85,3928.58,6197.41
Argentina,"Milk, Total",2022,1545537.04,839680.69,8600.72,10345.05
Argentina,"Hen eggs in shell, fresh",2000,29.85,74.0,2394.27,4389.0
Argentina,"Hen eggs in shell, fresh",2001,469.0,1373.0,2686.0,5368.0
Argentina,"Hen eggs in shell, fresh",2002,163.0,1155.0,11.0,68.0
Argentina,"Hen eggs in shell, fresh",2003,146.0,107.0,5.0,112.0
Argentina,"Hen eggs in shell, fresh",2004,849.0,563.0,10.0,249.0
Argentina,"Hen eggs in shell, fresh",2005,2917.0,2277.0,4.0,97.0
Argentina,"Hen eggs in shell, fresh",2006,2542.0,2274.0,0.0,3.0
Argentina,"Hen eggs in shell, fresh",2007,2141.0,2549.0,3.0,33.0
Argentina,"Hen eggs in shell, fresh",2008,1417.0,1942.0,10.0,122.0
Argentina,"Hen eggs in shell, fresh",2009,1486.0,1756.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2010,1080.0,1631.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2011,1051.0,1374.0,3.0,63.0
Argentina,"Hen eggs in shell, fresh",2012,538.0,771.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2013,0.0,0.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2014,725.61,2345.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2015,1088.83,4045.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2016,17.48,47.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2017,144.11,189.0,0.0,0.0
Argentina,"Hen eggs in shell, fresh",2018,0.0,0.0,19.12,26.0
Argentina,"Hen eggs in shell, fresh",2019,0.0,0.0,19.12,34.0
Argentina,"Hen eggs in shell, fresh",2020,0.0,0.0,2.81,87.0
Argentina,"Hen eggs in shell, fresh",2021,0.0,0.0,0.04,6.0
Argentina,"Hen eggs in shell, fresh",2022,0.0,0.0,0.74,99.0
Argentina,"Meat, Total",2000,39348.352222222224,81699.69166666667,9885.380588235294,11174.627647058822
Argentina,"Meat, Total",2001,20381.658333333333,35611.444444444445,6477.349999999999,8079.235294117647
Argentina,"Meat, Total",2002,40479.683333333334,60354.833333333336,1050.25,1213.0588235294117
Argentina,"Meat, Total",2003,46945.03333333333,78325.33333333333,2649.755882352941,2352.764705882353
Argentina,"Meat, Total",2004,75494.90555555554,132056.88888888888,840.6941176470588,1305.7058823529412
Argentina,"Meat, Total",2005,98787.45000000001,181374.0,1102.9944444444445,1978.2777777777778
Argentina,"Meat, Total",2006,80413.29999999999,175148.27777777778,1242.302777777778,2314.3888888888887
Argentina,"Meat, Total",2007,84894.975,200854.22222222222,1476.9499999999998,3171.722222222222
Argentina,"Meat, Total",2008,79621.90555555555,243624.88888888888,1295.1888888888889,3595.222222222222
Argentina,"Meat, Total",2009,107599.61111111111,254935.88888888888,1297.947222222222,3350.9444444444443
Argentina,"Meat, Total",2010,77294.66388888888,218370.88888888888,1990.4805555555556,5160.666666666667
Argentina,"Meat, Total",2011,74976.71111111112,242284.66666666666,2352.7305555555554,6999.944444444444
Argentina,"Meat, Total",2012,81151.11111111111,230082.38888888888,1072.8444444444444,3668.0555555555557
Argentina,"Meat, Total",2013,89412.65833333334,245504.33333333334,739.2083333333334,2724.6111111111113
Argentina,"Meat, Total",2014,97766.134,278484.14400000003,668.2541666666666,2975.4533333333334
Argentina,"Meat, Total",2015,76197.64266666667,200124.638,772.3983333333334,2392.78
Argentina,"Meat, Total",2016,74099.568,208162.66133333332,2318.5338461538463,5354.208461538462
Argentina,"Meat, Total",2017,95658.5457142857,277971.6292857143,1627.8338461538463,4059.1453846153845
Argentina,"Meat, Total",2018,163643.981,508359.016,5087.562857142858,10980.060714285715
Argentina,"Meat, Total",2019,213263.64727272728,699374.4390909091,4240.8075,9149.231666666667
Argentina,"Meat, Total",2020,229816.819,655065.15,3960.3866666666668,9170.225
Argentina,"Meat, Total",2021,202769.102,654145.605,3791.3375,8749.133333333333
Argentina,"Meat, Total",2022,207811.95181818178,737661.6063636363,4335.393076923077,12419.701538461539
Argentina,Raw milk of cattle,2000,23498.67,7339.0,429.87,174.0
Argentina,Raw milk of cattle,2001,6731.0,1980.0,6216.0,2141.0
Argentina,Raw milk of cattle,2002,10155.0,2446.0,168.0,43.0
Argentina,Raw milk of cattle,2003,1902.0,603.0,32484.0,6112.0
Argentina,Raw milk of cattle,2004,7423.0,2522.0,36997.0,6523.0
Argentina,Raw milk of cattle,2005,12735.0,4739.0,3540.0,783.0
Argentina,Raw milk of cattle,2006,15017.0,5729.0,169.0,66.0
Argentina,Raw milk of cattle,2007,9212.0,5382.0,69.0,43.0
Argentina,Raw milk of cattle,2008,22343.0,15330.0,49.0,31.0
Argentina,Raw milk of cattle,2009,21543.0,10898.0,0.0,0.0
Argentina,Raw milk of cattle,2010,17430.0,11180.0,0.0,0.0
Argentina,Raw milk of cattle,2011,13446.0,9845.0,1.0,6.0
Argentina,Raw milk of cattle,2012,5867.0,4623.0,0.0,0.0
Argentina,Raw milk of cattle,2013,4263.0,3187.0,0.0,0.0
Argentina,Raw milk of cattle,2014,3897.59,2837.0,0.01,2.0
Argentina,Raw milk of cattle,2015,2422.57,1831.0,0.03,4.0
Argentina,Raw milk of cattle,2016,1194.68,822.0,0.0,0.0
Argentina,Raw milk of cattle,2017,1517.77,945.0,0.08,1.0
Argentina,Raw milk of cattle,2018,415.02,267.0,2847.02,1944.0
Argentina,Raw milk of cattle,2019,505.31,293.0,398.34,276.0
Argentina,Raw milk of cattle,2020,2283.09,1086.0,41.17,21.0
Argentina,Raw milk of cattle,2021,963.75,550.0,375.51,399.0
Argentina,Raw milk of cattle,2022,6024.13,3692.0,453.06,788.0
Argentina,Wheat,2000,11019021.0,1218077.0,101.65,43.0
Argentina,Wheat,2001,10790517.0,1301552.0,142.0,74.0
Argentina,Wheat,2002,9051610.0,1097362.0,211.0,83.0
Argentina,Wheat,2003,6169213.0,940518.0,16.0,16.0
Argentina,Wheat,2004,9976599.0,1365480.0,295.0,133.0
Argentina,Wheat,2005,10431146.0,1280585.0,147.0,71.0
Argentina,Wheat,2006,9697359.0,1472023.0,23.0,26.0
Argentina,Wheat,2007,9645491.0,2015981.0,69.0,38.0
Argentina,Wheat,2008,8772264.0,2547287.0,524.0,222.0
Argentina,Wheat,2009,5118007.0,1001972.0,18.0,25.0
Argentina,Wheat,2010,4038997.0,901823.0,9.0,24.0
Argentina,Wheat,2011,8411136.0,2508660.0,9.0,37.0
Argentina,Wheat,2012,11461359.0,2937805.0,18.0,40.0
Argentina,Wheat,2013,2388934.0,725394.0,151.0,120.0
Argentina,Wheat,2014,1852411.34,603676.0,10.25,29.0
Argentina,Wheat,2015,4311206.53,1032845.0,12.98,42.0
Argentina,Wheat,2016,10266234.05,1867745.0,2921.82,695.0
Argentina,Wheat,2017,13099132.92,2361855.0,4.68,19.0
Argentina,Wheat,2018,11724765.36,2419213.0,10.4,49.0
Argentina,Wheat,2019,10542597.82,2295535.0,42.66,56.0
Argentina,Wheat,2020,10196930.53,2029494.0,17.84,58.0
Argentina,Wheat,2021,9485175.01,2454059.0,84.65,155.0
Argentina,Wheat,2022,12938182.07,4000808.0,52.05,152.0
Australia,Barley,2000,2956215.0,389939.0,9.0,13.0
Australia,Barley,2001,2189180.0,282241.0,15.0,24.0
Australia,Barley,2002,3687653.0,457254.0,20.0,21.0
Australia,Barley,2003,2205071.0,354033.0,41.0,50.0
Australia,Barley,2004,6710009.0,957696.0,55.0,85.0
Australia,Barley,2005,3928049.0,566860.0,50.0,65.0
Australia,Barley,2006,4799488.0,698931.0,33.0,48.0
Australia,Barley,2007,1840143.0,451357.0,44.0,85.0
Australia,Barley,2008,3485080.0,1071782.0,42.0,81.0
Australia,Barley,2009,3247894.0,605938.0,85.0,62.0
Australia,Barley,2010,3948638.0,740695.0,46.0,113.0
Australia,Barley,2011,4484743.0,1266559.0,53.0,159.0
Australia,Barley,2012,5110851.0,1364177.0,65.0,138.0
Australia,Barley,2013,5120168.0,1483403.0,105.0,202.0
Australia,Barley,2014,6133773.34,1588631.0,223.33,412.0
Australia,Barley,2015,5192286.74,1308451.0,149.5,213.0
Australia,Barley,2016,5808572.21,1131059.0,185.52,201.0
Australia,Barley,2017,8860855.0,1618501.0,127.46,252.0
Australia,Barley,2018,6123369.44,1392423.0,170.04,200.0
Australia,Barley,2019,2872279.0,724937.0,50.82,137.0
Australia,Barley,2020,4258209.37,908420.0,69.55,182.0
Australia,Barley,2021,8723613.52,2013394.0,76.15,143.0
Australia,Barley,2022,8002359.77,2322934.0,24.76,65.0
Australia,"Cereals, primary",2000,21759801.0,2730472.0,1099.0,559.0
Australia,"Cereals, primary",2001,18678822.0,2629023.0,621.0,335.0
Australia,"Cereals, primary",2002,19204877.0,2805975.0,1765.0,799.0
Australia,"Cereals, primary",2003,11868743.0,1961937.0,360856.0,42724.0
Australia,"Cereals, primary",2004,25937224.0,4177481.0,2624.0,773.0
Australia,"Cereals, primary",2005,18198150.0,2912916.0,1180.0,1294.0
Australia,"Cereals, primary",2006,20122447.0,3304587.0,1553.0,1498.0
Australia,"Cereals, primary",2007,8667193.0,2082785.0,5325.0,4016.0
Australia,"Cereals, primary",2008,12587301.0,3859248.0,1676.0,1769.0
Australia,"Cereals, primary",2009,19636814.0,4137605.0,2542.0,2790.0
Australia,"Cereals, primary",2010,20359749.0,4704179.0,2138.0,2604.0
Australia,"Cereals, primary",2011,23090185.0,7228379.0,3183.0,4037.0
Australia,"Cereals, primary",2012,30186111.0,8555455.0,5406.0,7219.0
Australia,"Cereals, primary",2013,24053891.0,7703903.0,5574.0,11904.0
Australia,"Cereals, primary",2014,24853597.49,7074936.06,11069.62,25890.16
Australia,"Cereals, primary",2015,23863969.57,6128646.01,7278.29,14866.28
Australia,"Cereals, primary",2016,22832750.07,4940754.72,6090.49,10894.46
Australia,"Cereals, primary",2017,31233103.1,6378222.55,7800.88,13008.64
Australia,"Cereals, primary",2018,18995175.87,4573972.47,8988.85,14162.92
Australia,"Cereals, primary",2019,12639717.65,3267553.84,502052.64,150689.82
Australia,"Cereals, primary",2020,15026690.16,3723308.26,496691.11,144949.58
Australia,"Cereals, primary",2021,36385107.35,9743404.92,8258.32,14920.28
Australia,"Cereals, primary",2022,39711376.29,13283619.8,5924.31,13043.45
Australia,"Milk, Total",2000,4163321.74,994704.0,139881.2,41833.0
Australia,"Milk, Total",2001,3647265.15,1001653.0,137776.6,40939.0
Australia,"Milk, Total",2002,4630764.74,1004338.0,86285.9,28060.0
Australia,"Milk, Total",2003,3013824.56,782731.0,142676.8,44311.0
Australia,"Milk, Total",2004,3163926.46,999313.0,184984.6,57558.0
Australia,"Milk, Total",2005,3097455.36,1102247.0,161145.9,59989.0
Australia,"Milk, Total",2006,3385631.85,1064935.0,154510.3,55442.0
Australia,"Milk, Total",2007,2506704.06,1166564.0,171971.4,86387.0
Australia,"Milk, Total",2008,2475099.17,1360519.0,222172.6,140636.0
Australia,"Milk, Total",2009,2984002.66,1023593.0,223216.9,96306.0
Australia,"Milk, Total",2010,2388542.27,1195639.0,237603.8,148547.0
Australia,"Milk, Total",2011,2047263.97,1134712.0,267451.1,188502.0
Australia,"Milk, Total",2012,2512400.37,1287217.0,223089.3,148615.0
Australia,"Milk, Total",2013,2089553.07,1311001.0,252362.1,169232.0
Australia,"Milk, Total",2014,2407153.78,1489890.09,330279.8,207917.74
Australia,"Milk, Total",2015,2543393.9,1056204.06,343638.56,177586.26
Australia,"Milk, Total",2016,2397685.03,982470.67,417025.94,231432.74
Australia,"Milk, Total",2017,2017199.09,987966.78,525911.37,348631.06
Australia,"Milk, Total",2018,2007040.91,990877.18,606351.45,423253.91
Australia,"Milk, Total",2019,1758078.45,954632.8,679015.3,414916.76
Australia,"Milk, Total",2020,1731679.38,991362.35,757672.27,465116.41
Australia,"Milk, Total",2021,2216741.89,1394824.81,666309.31,435170.68
Australia,"Milk, Total",2022,2162913.13,1502038.67,737421.58,565971.42
Australia,"Hen eggs in shell, fresh",2000,129.0,715.0,26.0,529.0
Australia,"Hen eggs in shell, fresh",2001,96.0,493.0,17.0,537.0
Australia,"Hen eggs in shell, fresh",2002,96.0,513.0,23.0,665.0
Australia,"Hen eggs in shell, fresh",2003,108.0,571.0,33.0,673.0
Australia,"Hen eggs in shell, fresh",2004,750.0,2374.0,51.0,735.0
Australia,"Hen eggs in shell, fresh",2005,85.0,925.0,568.0,1018.0
Australia,"Hen eggs in shell, fresh",2006,157.0,839.0,789.0,1377.0
Australia,"Hen eggs in shell, fresh",2007,90.0,786.0,134.0,401.0
Australia,"Hen eggs in shell, fresh",2008,172.0,1279.0,416.0,884.0
Australia,"Hen eggs in shell, fresh",2009,165.0,1241.0,1010.0,1980.0
Australia,"Hen eggs in shell, fresh",2010,74.0,454.0,823.0,1982.0
Australia,"Hen eggs in shell, fresh",2011,385.0,1921.0,686.0,2289.0
Australia,"Hen eggs in shell, fresh",2012,714.0,4139.0,448.0,1712.0
Australia,"Hen eggs in shell, fresh",2013,424.0,2716.0,233.0,1129.0
Australia,"Hen eggs in shell, fresh",2014,165.85,963.0,293.09,1607.0
Australia,"Hen eggs in shell, fresh",2015,246.02,579.0,327.14,1478.0
Australia,"Hen eggs in shell, fresh",2016,223.41,1173.0,428.81,2740.0
Australia,"Hen eggs in shell, fresh",2017,1212.23,6232.0,815.11,2709.0
Australia,"Hen eggs in shell, fresh",2018,1607.78,9778.0,697.15,2460.0
Australia,"Hen eggs in shell, fresh",2019,474.73,2139.0,1176.43,3579.0
Australia,"Hen eggs in shell, fresh",2020,189.13,693.0,1585.52,4787.0
Australia,"Hen eggs in shell, fresh",2021,305.84,871.0,1620.57,5264.0
Australia,"Hen eggs in shell, fresh",2022,578.56,4294.0,1920.84,6072.0
Australia,"Meat, Total",2000,201927.09411764707,330767.23529411765,600.2566666666667,1277.6666666666667
Australia,"Meat, Total",2001,202157.62777777776,349543.3888888889,648.6800000000001,1262.6
Australia,"Meat, Total",2002,196459.00555555557,344594.94444444444,680.6533333333333,1241.2
Australia,"Meat, Total",2003,174844.66666666666,367750.72222222225,973.5466666666667,2080.4
Australia,"Meat, Total",2004,190125.0,515675.77777777775,1321.05,3118.5333333333333
Australia,"Meat, Total",2005,197801.24444444443,559071.6666666666,1697.59,4489.333333333333
Australia,"Meat, Total",2006,207970.64166666666,575429.7777777778,1352.58125,4030.125
Australia,"Meat, Total",2007,207332.73333333334,596117.2222222222,1035.246875,3742.375
Australia,"Meat, Total",2008,206367.05555555556,664099.6666666666,1185.178125,4638.1875
Australia,"Meat, Total",2009,204137.02777777778,566224.2777777778,1693.5531250000001,7177.375
Australia,"Meat, Total",2010,197286.28333333333,671898.6111111111,2317.2625,12721.75
Australia,"Meat, Total",2011,182172.79722222223,732525.0555555555,2777.265625,16391.5625
Australia,"Meat, Total",2012,208445.80555555556,815028.3888888889,3266.026470588235,19672.764705882353
Australia,"Meat, Total",2013,246923.61388888888,921127.1111111111,3548.5529411764705,18998.823529411766
Australia,"Meat, Total",2014,286771.41277777776,1145769.7966666666,5193.315333333333,22725.549333333332
Australia,"Meat, Total",2015,278878.09222222224,1083617.651111111,5753.607999999999,21380.858666666667
Australia,"Meat, Total",2016,234401.93388888892,903511.3388888888,5999.612307692307,22531.87
Australia,"Meat, Total",2017,215574.47894736842,942154.1057894736,3962.450666666666,17701.041333333334
Australia,"Meat, Total",2018,226118.62199999997,996038.0514999998,3995.602,18273.692
Australia,"Meat, Total",2019,271563.005,1246980.378888889,2782.299375,11966.4175
Australia,"Meat, Total",2020,219920.6905263158,1037983.4731578947,2649.6030769230765,12809.137692307693
Australia,"Meat, Total",2021,214465.2666666667,1208427.375,3269.0946666666664,17119.240666666665
Australia,"Meat, Total",2022,222765.09705882354,1329468.1199999999,3142.5193750000003,17884.92625
Australia,Raw milk of cattle,2000,67605.0,32565.0,2692.0,2457.0
Australia,Raw milk of cattle,2001,59235.0,28733.0,2569.0,2167.0
Australia,Raw milk of cattle,2002,59150.0,30999.0,1537.0,1778.0
Australia,Raw milk of cattle,2003,55730.0,33458.0,1633.0,2009.0
Australia,Raw milk of cattle,2004,50002.0,35920.0,1432.0,2429.0
Australia,Raw milk of cattle,2005,56088.0,39785.0,1624.0,2511.0
Australia,Raw milk of cattle,2006,52615.0,34733.0,892.0,1474.0
Australia,Raw milk of cattle,2007,50894.0,39273.0,975.0,1888.0
Australia,Raw milk of cattle,2008,45590.0,41970.0,614.0,876.0
Australia,Raw milk of cattle,2009,50964.0,44340.0,1675.0,1735.0
Australia,Raw milk of cattle,2010,58469.0,56960.0,6771.0,6564.0
Australia,Raw milk of cattle,2011,64527.0,67596.0,5527.0,7131.0
Australia,Raw milk of cattle,2012,82586.0,106507.0,4781.0,10027.0
Australia,Raw milk of cattle,2013,94442.0,113354.0,3788.0,8074.0
Australia,Raw milk of cattle,2014,143332.68,150682.0,4338.22,9691.0
Australia,Raw milk of cattle,2015,158862.24,145774.0,5720.74,8841.0
Australia,Raw milk of cattle,2016,185174.08,151502.0,5232.22,7380.0
Australia,Raw milk of cattle,2017,188124.52,168676.0,5121.13,10646.0
Australia,Raw milk of cattle,2018,198586.35,186303.0,5427.64,11861.0
Australia,Raw milk of cattle,2019,222596.04,198097.0,5503.29,11029.0
Australia,Raw milk of cattle,2020,236240.42,212177.0,4748.92,8714.0
Australia,Raw milk of cattle,2021,331415.37,250061.0,4699.37,10496.0
Australia,Raw milk of cattle,2022,308127.93,234577.0,6264.85,16176.0
Australia,Wheat,2000,17724364.0,2219498.0,76.0,46.0
Australia,Wheat,2001,15542103.0,2239694.0,24.0,9.0
Australia,Wheat,2002,14697182.0,2249551.0,141.0,58.0
Australia,Wheat,2003,9503389.0,1574014.0,299098.0,33563.0
Australia,Wheat,2004,18450822.0,3089044.0,92.0,39.0
Australia,Wheat,2005,13914503.0,2280547.0,32.0,22.0
Australia,Wheat,2006,14975540.0,2540673.0,21.0,10.0
Australia,Wheat,2007,6755804.0,1606491.0,25.0,21.0
Australia,Wheat,2008,8278014.0,2541255.0,243.0,125.0
Australia,Wheat,2009,14996065.0,3254699.0,36.0,50.0
Australia,Wheat,2010,15888042.0,3845505.0,186.0,108.0
Australia,Wheat,2011,17657181.0,5709036.0,1133.0,905.0
Australia,Wheat,2012,23535862.0,6765442.0,1485.0,921.0
Australia,Wheat,2013,18001619.0,5895652.0,1688.0,1283.0
Australia,Wheat,2014,18282772.72,5343410.0,1263.29,866.0
Australia,Wheat,2015,17053209.04,4371502.0,1218.44,740.0
Australia,Wheat,2016,16148016.23,3621345.0,990.64,504.0
Australia,Wheat,2017,21985914.0,4650329.0,1212.15,916.0
Australia,Wheat,2018,12352837.22,3036049.0,1311.49,876.0
Australia,Wheat,2019,9591795.62,2482945.0,488689.51,129920.0
Australia,Wheat,2020,10400418.49,2698498.0,482237.46,126810.0
Australia,Wheat,2021,25563035.49,7105524.0,1070.22,750.0
Australia,Wheat,2022,28781090.41,10008195.0,687.31,537.0
Austria,Barley,2000,260576.0,33064.0,144380.0,18247.0
Austria,Barley,2001,101838.0,14744.0,82290.0,10793.0
Austria,Barley,2002,74539.0,10447.0,99529.0,11200.0
Austria,Barley,2003,62998.0,11652.0,93964.0,12928.0
Austria,Barley,2004,63956.0,12596.0,110777.0,16359.0
Austria,Barley,2005,86667.0,14261.0,133742.0,17173.0
Austria,Barley,2006,158183.0,25345.0,157293.0,22127.0
Austria,Barley,2007,76926.0,22680.0,143189.0,36069.0
Austria,Barley,2008,51072.0,17753.0,151979.0,48176.0
Austria,Barley,2009,66650.0,16078.0,174218.0,36981.0
Austria,Barley,2010,82642.0,17175.0,133697.0,24213.0
Austria,Barley,2011,70650.0,24387.0,198164.0,48414.0
Austria,Barley,2012,75722.0,26678.0,162746.0,48636.0
Austria,Barley,2013,77593.0,26380.0,198311.0,55805.0
Austria,Barley,2014,43078.39,13272.0,213608.65,52400.0
Austria,Barley,2015,112050.37,23915.0,214258.46,37494.0
Austria,Barley,2016,115194.25,23687.0,181972.17,30792.0
Austria,Barley,2017,118299.78,25647.0,181094.42,33660.0
Austria,Barley,2018,90778.59,21741.0,170630.05,38781.0
Austria,Barley,2019,52704.89,13529.0,226024.99,49054.0
Austria,Barley,2020,86518.89,19143.0,287548.32,57976.0
Austria,Barley,2021,87443.02,23513.0,198587.46,45493.0
Austria,Barley,2022,86563.36,28934.0,175967.1,61734.0
Austria,"Cereals, primary",2000,944046.0,149510.11,373287.0,71395.31
Austria,"Cereals, primary",2001,870211.0,154044.0,394600.0,73032.0
Austria,"Cereals, primary",2002,1128945.0,178587.0,690144.0,100951.0
Austria,"Cereals, primary",2003,1003638.0,220635.0,502897.0,100050.0
Austria,"Cereals, primary",2004,758593.0,224156.0,556757.0,137858.0
Austria,"Cereals, primary",2005,1264431.0,262824.0,658486.0,119927.0
Austria,"Cereals, primary",2006,1124148.0,243999.0,760689.0,135909.0
Austria,"Cereals, primary",2007,1057770.0,361671.0,792202.0,220736.0
Austria,"Cereals, primary",2008,1102493.0,455666.0,732026.0,247266.0
Austria,"Cereals, primary",2009,1100907.0,327268.0,1163396.0,249400.0
Austria,"Cereals, primary",2010,1158667.0,350368.0,1409713.0,307145.0
Austria,"Cereals, primary",2011,1096734.0,481253.0,1631513.0,499532.0
Austria,"Cereals, primary",2012,1248996.0,482560.0,1363215.0,409047.0
Austria,"Cereals, primary",2013,1060314.0,500631.0,1776139.0,546955.0
Austria,"Cereals, primary",2014,1322419.65,534636.57,2026749.46,544569.54
Austria,"Cereals, primary",2015,1241190.58,406023.01,2186841.86,466724.02
Austria,"Cereals, primary",2016,1295068.22,410778.91,2064291.28,432591.58
Austria,"Cereals, primary",2017,1328816.1,445452.95,2318948.38,494952.04
Austria,"Cereals, primary",2018,1109601.63,427518.93,2066863.1,478300.62
Austria,"Cereals, primary",2019,1175892.99,455423.93,2261433.53,512495.32
Austria,"Cereals, primary",2020,1294168.76,521965.17,2443066.91,547961.42
Austria,"Cereals, primary",2021,1410990.45,585482.86,2518711.39,683555.65
Austria,"Cereals, primary",2022,1280207.45,701538.82,2623899.07,974652.78
Austria,"Milk, Total",2000,805125.79,244991.47,193462.3,72132.31
Austria,"Milk, Total",2001,781033.89,237785.0,239569.3,84110.0
Austria,"Milk, Total",2002,819795.29,242534.0,233234.8,84711.0
Austria,"Milk, Total",2003,824410.19,287861.0,373386.09,138607.0
Austria,"Milk, Total",2004,933091.29,340614.0,387971.29,157822.0
Austria,"Milk, Total",2005,816498.19,330035.0,353461.9,171220.0
Austria,"Milk, Total",2006,869008.19,353541.0,350855.39,179589.0
Austria,"Milk, Total",2007,785439.39,444325.0,350098.6,223525.0
Austria,"Milk, Total",2008,868032.79,546029.0,406143.29,237285.0
