Area,Item,Year,Producer Price (USD/tonne)
Brazil,Barley,2022,339.9
Brazil,"Hen eggs in shell, fresh",2000,987.2
Brazil,"Hen eggs in shell, fresh",2001,810.8
Brazil,"Hen eggs in shell, fresh",2002,357.2
Brazil,"Hen eggs in shell, fresh",2003,493.6
Brazil,"Hen eggs in shell, fresh",2004,548.1
Brazil,"Hen eggs in shell, fresh",2005,669.2
Brazil,"Hen eggs in shell, fresh",2006,691.5
Brazil,"Hen eggs in shell, fresh",2007,841.4
Brazil,"Hen eggs in shell, fresh",2008,1018.8
Brazil,"Hen eggs in shell, fresh",2009,916.5
Brazil,"Hen eggs in shell, fresh",2010,1027.4
Brazil,"Hen eggs in shell, fresh",2011,2196.8
Brazil,"Hen eggs in shell, fresh",2012,2280.0
Brazil,"Hen eggs in shell, fresh",2013,2534.6
Brazil,"Hen eggs in shell, fresh",2014,2667.1
Brazil,"Hen eggs in shell, fresh",2015,1981.3
Brazil,"Hen eggs in shell, fresh",2016,2119.4
Brazil,"Hen eggs in shell, fresh",2018,1267.7
Brazil,"Hen eggs in shell, fresh",2019,1220.8
Brazil,"Hen eggs in shell, fresh",2020,1059.7
Brazil,"Hen eggs in shell, fresh",2021,1274.3
Brazil,"Hen eggs in shell, fresh",2022,1564.7
Brazil,Raw milk of cattle,2000,170.0
Brazil,Raw milk of cattle,2001,129.0
Brazil,Raw milk of cattle,2002,119.0
Brazil,Raw milk of cattle,2003,148.1
Brazil,Raw milk of cattle,2004,163.8
Brazil,Raw milk of cattle,2005,208.8
Brazil,Raw milk of cattle,2006,221.8
Brazil,Raw milk of cattle,2007,298.3
Brazil,Raw milk of cattle,2008,367.7
Brazil,Raw milk of cattle,2009,344.3
Brazil,Raw milk of cattle,2010,426.3
Brazil,Raw milk of cattle,2011,480.7
Brazil,Raw milk of cattle,2012,446.7
Brazil,Raw milk of cattle,2013,471.1
Brazil,Raw milk of cattle,2014,467.5
Brazil,Raw milk of cattle,2015,328.1
Brazil,Raw milk of cattle,2016,332.0
Brazil,Raw milk of cattle,2018,308.3
Brazil,Raw milk of cattle,2019,304.5
Brazil,Raw milk of cattle,2020,309.5
Brazil,Raw milk of cattle,2021,358.2
Brazil,Raw milk of cattle,2022,447.9
Brazil,Wheat,2000,118.6
Brazil,Wheat,2001,106.8
Brazil,Wheat,2002,127.6
Brazil,Wheat,2003,147.8
Brazil,Wheat,2004,140.2
Brazil,Wheat,2005,142.0
Brazil,Wheat,2006,156.3
Brazil,Wheat,2007,226.9
Brazil,Wheat,2008,277.7
Brazil,Wheat,2009,213.8
Brazil,Wheat,2010,233.1
Brazil,Wheat,2011,245.1
Brazil,Wheat,2018,191.8
Brazil,Wheat,2019,184.0
Brazil,Wheat,2020,207.1
Brazil,Wheat,2021,258.9
Brazil,Wheat,2022,293.9
Canada,Barley,2000,71.4
Canada,Barley,2001,82.0
Canada,Barley,2002,96.2
Canada,Barley,2003,93.5
Canada,Barley,2004,94.5
Canada,Barley,2005,75.1
Canada,Barley,2006,88.2
Canada,Barley,2007,153.6
Canada,Barley,2008,207.1
Canada,Barley,2009,164.5
Canada,Barley,2010,141.7
Canada,Barley,2011,195.1
Canada,Barley,2012,224.9
Canada,Barley,2013,237.3
Canada,Barley,2014,169.2
Canada,Barley,2015,174.1
Canada,Barley,2016,166.3
Canada,Barley,2017,148.8
Canada,Barley,2018,163.9
Canada,Barley,2019,169.7
Canada,Barley,2020,160.9
Canada,Barley,2021,214.8
Canada,Barley,2022,288.4
Canada,"Hen eggs in shell, fresh",2000,1062.2
Canada,"Hen eggs in shell, fresh",2001,1056.9
Canada,"Hen eggs in shell, fresh",2002,1062.1
Canada,"Hen eggs in shell, fresh",2003,1200.1
Canada,"Hen eggs in shell, fresh",2004,1338.3
Canada,"Hen eggs in shell, fresh",2005,1301.7
Canada,"Hen eggs in shell, fresh",2006,1412.5
Canada,"Hen eggs in shell, fresh",2007,1560.2
Canada,"Hen eggs in shell, fresh",2008,1763.4
Canada,"Hen eggs in shell, fresh",2009,1658.9
Canada,"Hen eggs in shell, fresh",2010,1798.1
Canada,"Hen eggs in shell, fresh",2011,2050.6
Canada,"Hen eggs in shell, fresh",2012,2162.3
Canada,"Hen eggs in shell, fresh",2013,2211.8
Canada,"Hen eggs in shell, fresh",2014,2009.2
Canada,"Hen eggs in shell, fresh",2015,1781.8
Canada,"Hen eggs in shell, fresh",2016,1718.8
Canada,"Hen eggs in shell, fresh",2017,1789.5
Canada,"Hen eggs in shell, fresh",2018,1849.1
Canada,"Hen eggs in shell, fresh",2019,1850.3
Canada,"Hen eggs in shell, fresh",2020,1863.3
Canada,"Hen eggs in shell, fresh",2021,2180.6
Canada,"Hen eggs in shell, fresh",2022,2394.4
Canada,Raw milk of cattle,2000,361.6
Canada,Raw milk of cattle,2001,353.8
Canada,Raw milk of cattle,2002,357.5
Canada,Raw milk of cattle,2003,425.4
Canada,Raw milk of cattle,2004,461.2
Canada,Raw milk of cattle,2005,528.1
Canada,Raw milk of cattle,2006,574.2
Canada,Raw milk of cattle,2007,639.0
Canada,Raw milk of cattle,2008,655.7
Canada,Raw milk of cattle,2009,623.0
Canada,Raw milk of cattle,2010,699.5
Canada,Raw milk of cattle,2011,757.1
Canada,Raw milk of cattle,2012,743.5
Canada,Raw milk of cattle,2013,732.6
Canada,Raw milk of cattle,2014,703.7
Canada,Raw milk of cattle,2015,577.7
Canada,Raw milk of cattle,2016,551.8
Canada,Raw milk of cattle,2017,564.3
Canada,Raw milk of cattle,2018,556.7
Canada,Raw milk of cattle,2019,572.1
Canada,Raw milk of cattle,2020,569.7
Canada,Raw milk of cattle,2021,622.3
Canada,Raw milk of cattle,2022,667.2
Canada,Wheat,2000,91.6
Canada,Wheat,2001,100.7
Canada,Wheat,2002,114.1
Canada,Wheat,2003,122.0
Canada,Wheat,2004,117.6
Canada,Wheat,2005,98.2
Canada,Wheat,2006,107.5
Canada,Wheat,2007,178.7
Canada,Wheat,2008,273.9
Canada,Wheat,2009,191.4
Canada,Wheat,2010,177.1
Canada,Wheat,2011,237.1
Canada,Wheat,2012,253.9
Canada,Wheat,2013,252.8
Canada,Wheat,2014,192.5
Canada,Wheat,2015,181.5
Canada,Wheat,2016,174.3
Canada,Wheat,2017,180.7
Canada,Wheat,2018,189.7
Canada,Wheat,2019,180.1
Canada,Wheat,2020,181.9
Canada,Wheat,2021,256.8
Canada,Wheat,2022,341.4
Denmark,Barley,2000,115.9
Denmark,Barley,2001,111.5
Denmark,Barley,2002,106.0
Denmark,Barley,2003,131.8
Denmark,Barley,2004,141.2
Denmark,Barley,2005,130.9
Denmark,Barley,2006,140.7
Denmark,Barley,2007,243.0
Denmark,Barley,2008,274.2
Denmark,Barley,2009,160.0
Denmark,Barley,2010,178.9
Denmark,Barley,2011,258.9
Denmark,Barley,2012,273.6
Denmark,Barley,2013,252.7
Denmark,Barley,2014,200.6
Denmark,Barley,2015,178.5
Denmark,Barley,2016,154.5
Denmark,Barley,2017,166.3
Denmark,Barley,2018,203.5
Denmark,Barley,2019,193.7
Denmark,Barley,2020,176.2
Denmark,Barley,2021,218.7
Denmark,Barley,2022,282.8
Denmark,"Hen eggs in shell, fresh",2000,1049.5
Denmark,"Hen eggs in shell, fresh",2001,1081.4
Denmark,"Hen eggs in shell, fresh",2002,1106.0
Denmark,"Hen eggs in shell, fresh",2003,1402.6
Denmark,"Hen eggs in shell, fresh",2004,1424.1
Denmark,"Hen eggs in shell, fresh",2005,1381.9
Denmark,"Hen eggs in shell, fresh",2006,1461.3
Denmark,"Hen eggs in shell, fresh",2007,1798.4
Denmark,"Hen eggs in shell, fresh",2008,2640.8
Denmark,"Hen eggs in shell, fresh",2009,1798.0
Denmark,"Hen eggs in shell, fresh",2010,1712.8
Denmark,"Hen eggs in shell, fresh",2011,1786.5
Denmark,"Hen eggs in shell, fresh",2012,1864.9
Denmark,"Hen eggs in shell, fresh",2013,1950.8
Denmark,"Hen eggs in shell, fresh",2014,1865.9
Denmark,"Hen eggs in shell, fresh",2015,1625.3
Denmark,"Hen eggs in shell, fresh",2016,1626.2
Denmark,"Hen eggs in shell, fresh",2017,1702.1
Denmark,"Hen eggs in shell, fresh",2018,1832.9
Denmark,Raw milk of cattle,2000,305.4
Denmark,Raw milk of cattle,2001,307.4
Denmark,Raw milk of cattle,2002,323.8
Denmark,Raw milk of cattle,2003,376.3
Denmark,Raw milk of cattle,2004,390.5
Denmark,Raw milk of cattle,2005,376.9
Denmark,Raw milk of cattle,2006,380.9
Denmark,Raw milk of cattle,2007,450.1
Denmark,Raw milk of cattle,2008,552.7
Denmark,Raw milk of cattle,2009,401.6
Denmark,Raw milk of cattle,2010,448.5
Denmark,Raw milk of cattle,2011,499.8
Denmark,Raw milk of cattle,2012,461.8
Denmark,Raw milk of cattle,2013,532.5
Denmark,Raw milk of cattle,2014,536.9
Denmark,Raw milk of cattle,2015,358.8
Denmark,Raw milk of cattle,2016,349.5
Denmark,Raw milk of cattle,2017,446.2
Denmark,Raw milk of cattle,2018,452.8
Denmark,Raw milk of cattle,2019,417.3
Denmark,Raw milk of cattle,2020,433.5
Denmark,Raw milk of cattle,2021,486.4
Denmark,Raw milk of cattle,2022,594.7
Denmark,Wheat,2000,110.0
Denmark,Wheat,2001,106.2
Denmark,Wheat,2002,98.9
Denmark,Wheat,2003,121.3
Denmark,Wheat,2004,157.2
Denmark,Wheat,2005,125.9
Denmark,Wheat,2006,137.7
Denmark,Wheat,2007,227.2
Denmark,Wheat,2008,297.0
Denmark,Wheat,2009,169.0
Denmark,Wheat,2010,175.0
Denmark,Wheat,2011,269.2
Denmark,Wheat,2012,266.2
Denmark,Wheat,2013,272.2
Denmark,Wheat,2014,220.9
Denmark,Wheat,2015,170.8
Denmark,Wheat,2016,156.0
Denmark,Wheat,2017,168.6
Denmark,Wheat,2018,198.9
Denmark,Wheat,2019,201.1
Denmark,Wheat,2020,189.5
Denmark,Wheat,2021,230.5
Denmark,Wheat,2022,283.2
Finland,Barley,2000,110.0
Finland,Barley,2001,98.1
Finland,Barley,2002,99.8
Finland,Barley,2003,119.6
Finland,Barley,2004,132.9
Finland,Barley,2005,124.4
Finland,Barley,2006,128.0
Finland,Barley,2007,199.8
Finland,Barley,2008,235.8
Finland,Barley,2009,130.6
Finland,Barley,2010,149.8
Finland,Barley,2011,225.5
Finland,Barley,2012,240.3
Finland,Barley,2013,231.1
Finland,Barley,2014,175.4
Finland,Barley,2015,150.9
Finland,Barley,2016,137.3
Finland,Barley,2017,145.7
Finland,Barley,2018,201.9
Finland,Barley,2019,173.5
Finland,Barley,2020,158.8
Finland,Barley,2021,223.5
Finland,Barley,2022,323.3
Finland,"Hen eggs in shell, fresh",2000,751.5
Finland,"Hen eggs in shell, fresh",2001,614.1
Finland,"Hen eggs in shell, fresh",2002,743.5
Finland,"Hen eggs in shell, fresh",2003,902.9
Finland,"Hen eggs in shell, fresh",2004,918.8
Finland,"Hen eggs in shell, fresh",2005,746.2
Finland,"Hen eggs in shell, fresh",2006,777.8
Finland,"Hen eggs in shell, fresh",2007,1053.9
Finland,"Hen eggs in shell, fresh",2008,1347.6
Finland,"Hen eggs in shell, fresh",2009,1210.1
Finland,"Hen eggs in shell, fresh",2010,1166.6
Finland,"Hen eggs in shell, fresh",2011,1329.3
Finland,"Hen eggs in shell, fresh",2012,1494.2
Finland,"Hen eggs in shell, fresh",2013,1552.6
Finland,"Hen eggs in shell, fresh",2014,1325.8
Finland,"Hen eggs in shell, fresh",2015,1135.0
Finland,"Hen eggs in shell, fresh",2016,1102.5
Finland,"Hen eggs in shell, fresh",2017,1089.0
Finland,"Hen eggs in shell, fresh",2018,1214.0
Finland,"Hen eggs in shell, fresh",2019,1167.6
Finland,"Hen eggs in shell, fresh",2020,1197.0
Finland,"Hen eggs in shell, fresh",2021,1262.0
Finland,"Hen eggs in shell, fresh",2022,1434.3
Finland,Raw milk of cattle,2000,316.0
Finland,Raw milk of cattle,2001,316.8
Finland,Raw milk of cattle,2002,340.7
Finland,Raw milk of cattle,2003,408.6
Finland,Raw milk of cattle,2004,438.3
Finland,Raw milk of cattle,2005,429.1
Finland,Raw milk of cattle,2006,449.1
Finland,Raw milk of cattle,2007,518.8
Finland,Raw milk of cattle,2008,637.2
Finland,Raw milk of cattle,2009,540.4
Finland,Raw milk of cattle,2010,522.3
Finland,Raw milk of cattle,2011,593.0
Finland,Raw milk of cattle,2012,576.9
Finland,Raw milk of cattle,2013,609.6
Finland,Raw milk of cattle,2014,588.5
Finland,Raw milk of cattle,2015,417.2
Finland,Raw milk of cattle,2016,410.7
Finland,Raw milk of cattle,2017,425.9
Finland,Raw milk of cattle,2018,447.6
Finland,Raw milk of cattle,2019,428.8
Finland,Raw milk of cattle,2020,447.7
Finland,Raw milk of cattle,2021,477.8
Finland,Raw milk of cattle,2022,524.4
Finland,Wheat,2000,124.1
Finland,Wheat,2001,118.4
Finland,Wheat,2002,124.2
Finland,Wheat,2003,142.2
Finland,Wheat,2004,149.0
Finland,Wheat,2005,131.8
Finland,Wheat,2006,139.3
Finland,Wheat,2007,219.0
Finland,Wheat,2008,276.8
Finland,Wheat,2009,183.4
Finland,Wheat,2010,194.9
Finland,Wheat,2011,274.2
Finland,Wheat,2012,260.8
Finland,Wheat,2013,270.9
Finland,Wheat,2014,225.8
Finland,Wheat,2015,187.5
Finland,Wheat,2016,167.1
Finland,Wheat,2017,179.6
Finland,Wheat,2018,236.2
Finland,Wheat,2019,206.0
Finland,Wheat,2020,195.3
Finland,Wheat,2021,255.5
Finland,Wheat,2022,353.8
France,Barley,2000,99.2
France,Barley,2001,94.9
France,Barley,2002,91.0
France,Barley,2003,119.6
France,Barley,2004,117.6
France,Barley,2005,115.2
France,Barley,2006,138.8
France,Barley,2007,228.9
France,Barley,2008,217.5
France,Barley,2009,125.3
France,Barley,2010,203.5
France,Barley,2011,256.0
France,Barley,2012,259.4
France,Barley,2013,223.2
France,Barley,2014,200.6
France,Barley,2015,166.3
France,Barley,2016,138.6
France,Barley,2017,149.7
France,Barley,2018,195.2
France,Barley,2019,161.4
France,Barley,2020,169.6
France,Barley,2021,241.2
France,"Hen eggs in shell, fresh",2000,816.7
France,"Hen eggs in shell, fresh",2001,779.3
France,"Hen eggs in shell, fresh",2002,773.8
France,"Hen eggs in shell, fresh",2003,1166.9
France,"Hen eggs in shell, fresh",2004,897.1
France,"Hen eggs in shell, fresh",2005,878.9
