"Subsection Code","Section","Subsection","Metadata"
"10.1","Release Policy","Release calendar","Dates for new data releases are pre-announced on the FAOSTAT homepage."
"10.2","Release Policy","Release calendar access","https://fenixservices.fao.org/faostat/static/releasecalendar/Default.aspx"
"10.3","Release Policy","User access","User access: In line with FAO's Statistics Code of Practice, data are disseminated on FAO's website respecting professional independence and in an objective, professional and transparent manner in which all users are treated equitably. | Terms of use: https://www.fao.org/contact-us/terms/db-terms-of-use/en/ This work is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO license (CC BY-NC-SA 3.0 IGO; https://creativecommons.org/licenses/by-nc-sa/3.0/igo). In addition to this license, some database specific terms of use are listed: Terms of Use of Datasets."
"10.4","Release Policy","Open data license",""
"11.0","Frequency of dissemination","Frequency of dissemination","Annual"
"12.1","Accessibility and clarity","News release",""
"12.2","Accessibility and clarity","Publications","FAO Global Statistical Yearbook, FAO Regional Statistical Yearbooks."
"12.3","Accessibility and clarity","Online database","https://www.fao.org/faostat/en/#data/QV"
"12.4","Accessibility and clarity","Micro-data access",""
"12.5","Accessibility and clarity","Other formats",""
"12.6","Accessibility and clarity","Documentation on methodology","See metadata of Production and Price domains respectively."
"13.1","Relevance","User needs","The main users are FAO analysts, other international organizations, ministries and government agencies, agro-industry, trade and professional associations, research institutes and universities, journalists and the general public. The objectives of these users vary, but agricultural production statistics are especially useful for market management/monitoring, production forecasts and policy-making in agriculture and food. FAO is not aware of unmet needs. Users are encouraged to contact the dataset owner for resolving more specific queries that are not addressed elsewhere in these metadata."
"13.2","Relevance","User satisfaction","The FAOSTAT User Consultation took place during April-December 2018. https://www.fao.org/3/ca7239en/ca7239en.pdf"
"13.3","Relevance","Completeness","See metadata of Production and Price domains respectively."
"14.1","Accuracy and reliability","Overall accuracy","See metadata of Production and Price domains respectively."
"14.2","Accuracy and reliability","Model assumption error",""
"14.3","Accuracy and reliability","Imputation indicators",""
"14.4","Accuracy and reliability","Data revision - policy","See metadata of Production and Price domains respectively."
"14.5","Accuracy and reliability","Data revision - practice","See metadata of Production and Price domains respectively."
"15.1","Timeliness and punctuality","Timeliness","See metadata of Production and Price domains respectively."
"15.2","Timeliness and punctuality","Punctuality","See metadata of Production and Price domains respectively."
"16.1","Coherence and Comparability","Comparability – geographical","See metadata of Production and Price domains respectively."
"16.2","Coherence and Comparability","Comparability - over time","See metadata of Production and Price domains respectively."
"16.3","Coherence and Comparability","Coherence","See metadata of Production and Price domains respectively."
"16.4","Coherence and Comparability","Classification system","See metadata of Production and Price domains respectively."
"17.1","Statistical process","Source data","See metadata of Production and Price domains respectively."
"17.2","Statistical process","Frequency of data collection and acquisition",""
"17.3","Statistical process","Data collection method",""
"17.4","Statistical process","Data validation",""
"17.5","Statistical process","Data compilation",""
"17.6","Statistical process","Regional aggregation","The total amount for a group of units (or all the units) is obtained by summing up the observed values."
"17.7","Statistical process","Adjustment",""
"17.8","Statistical process","Imputation",""
"18.1","Quality management","Quality assurance","See Production and Price domains respectively"
"18.2","Quality management","Quality assessment","See Production and Price domains respectively"
"19.0","Recommended uses and limitations","Recommended uses and limitations",""
"20.0","Comment","Comment",""
