"Subsection Code","Section","Subsection","Metadata"
"5.2","Statistical presentation","Coverage","FAO strives to provide data for all countries and crops and livestock commodities in terms of production (primary and processed), harvested areas, and live and slaughtered animal numbers."
"5.3","Statistical presentation","Sector coverage","Crops and  livestock, primary and selected derived commodities."
"5.4","Statistical presentation","Statistical concepts and definitions","1. CROPS PRIMARY: Areas refer to the area under cultivation. Area under cultivation means the area that corresponds to the total sown area, but after the harvest it excludes ruined areas (e.g. due to natural disasters).  If the same land parcel is used twice in the same year, the area of this parcel can be counted twice. Production means the harvested production. Harvested production means production including on-holding losses and wastage, quantities consumed directly on the farm and marketed quantities, indicated in units of basic product weight. Yield means the harvested production per ha for the area under cultivation. 2. CROPS PROCESSED: Production quantities in tonnes of processed crops. 3. LIVE ANIMALS: Stocks in number for Beehives and in heads or 1000 heads for other live animals. Aggregates are the sum of available data. Aggregates include estimated data. For some item aggregates, conversion factors are applied to values when calculating totals. 4. LIVESTOCK PRIMARY: Producing Animals/Slaughtered; Yield and Production Quantity. The unit of measure for these variables are as per the following items: ""Slaughtering"" is measured through activity of slaughterhouses, e.g. production of marketable meat for human consumption. Estimates of ‘other slaughtering’ can be added for a more accurate picture of meat production. ""Livestock"" is accounted for by categories that capture their rearing, either for fattening then slaughter, or for herd renewal, e.g. for breeding and/or milking. Aggregates are the sum of available data. Aggregates include estimated data. For some item aggregates, conversion factors are applied to values when calculating totals.  5. LIVESTOCK PROCESSED: Production quantity of processed commodities from livestock. Aggregates are the sum of available data. Aggregates include estimated data. For some item aggregates, conversion factors are applied to values when calculating totals."
"5.5","Statistical presentation","Reference area","All countries of the world – with some minor exceptions – and geographical aggregates according to the United Nations M-49 list, in line with FAO Standard on Country and Area Codes for Statistical Use.Notes on geographical coverage:(1) Data of Iraq do not include Kurdistan region . (2) Since 2007 France data include French Guiana, Martinique, Guadeloupe, Reunion territories but they exclude French Polynesia and New Caledonia territories.(3)Information provided by the Russian Federation includes statistical data for the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine, temporarily occupied by the Russian Federation and is presented without prejudice to relevant UN General Assembly and UN Security Council resolutions, including UN General Assembly resolution 68/262 of 27 March 2014 and UN Security Council resolution 2202 (2015) of 17 February 2015, which reaffirm the territorial integrity of Ukraine. Information provided by Ukraine excludes statistical data concerning the Autonomous Republic of Crimea, the city of Sevastopol and certain areas of the Donetsk and Luhansk regions. The information is presented without prejudice to relevant UN General Assembly and UN Security Council resolutions, including UN General Assembly resolution 68/262 of 27 March 2014 and UN Security Council resolution 2202 (2015) of 17 February 2015, which reaffirm the territorial integrity of Ukraine."
"5.6","Statistical presentation","Time coverage","Data are available from 1961 onward"
"5.7","Statistical presentation","Base period","Not applicable"
"6.0","Unit of measure","Unit of measure","1. CROPS PRIMARY: Area Harvested is expressed in hectares [ha], production is expressed in tonnes [t], seed is expressed in tonnes [t], yield is expressed in [hg/ha]. 2. CROP PROCESSED: Production is expressed in tonnes [t]. 3. LIVE ANIMALS: Stocks [1000 heads], stocks [No], stocks [heads]. 4. LIVESTOCK PRIMARY: Laying [1000 heads], milk animals [heads], prod Population [No], prod Population [heads], producing Animals/Slaughtered [1000 heads], producing Animals/Slaughtered [heads], production [1000 heads], production [1000], production [heads], production [t], yield [100 mg/head], yield [No/head], yield [hg/head], yield/Carcass Weight [0.1 g/head], yield/Carcass Weight [hg/head]. 5. LIVESTOCK PROCESSED: Production is expressed in tonnes [t]"
"7.0","Reference period","Reference period","Calendar year"
"8.1","Institutional mandate","Legal acts and other agreements","Article I of FAO constitution states ""The Organization shall collect, analyse, interpret and disseminate information relating to nutrition, food and agriculture (the term “agriculture” and its derivatives includes forestry, fisheries and aquaculture)"" (FAO, 2017)"
"8.2","Institutional mandate","Data acquisition and data transmission","FAO-Eurostat Memorandum of Understanding for Eurostat data harvesting;FAO-International Organisation of Vine and Wine gentlemen's agreement"
"9.1","Confidentiality","Confidentiality - policy","FAO Data and statistics are produced in accordance with FAO Policy on Data Protection  and the implementation modalities of FAO SDQAF Principle 4 on Data protection and Statistical Confidentiality: https://www.fao.org/3/cc6683en/cc6683en.pdf"
"9.2","Confidentiality","Confidentiality - data treatment","Not applicable"
"9.3","Confidentiality","Privacy","Not applicable"
"10.1","Release Policy","Release calendar","FAOSTAT data releases follow a release calendar available publicly (see link in release calendar access) Dates for new data releases are pre-announced on the FAOSTAT Homepage. Production data (crops and livestock products) for the most recent year available are disseminated yearly."
"10.2","Release Policy","Release calendar access","https://www.fao.org/faostat/en/#release_calendar"
"10.3","Release Policy","User access","FAOSTAT data are disseminated according to FAO's Open Data Licensing for Statistical Databases Policy, under the Creative Commons Attribution 4.0 International license (CC-BY 4.0; https://creativecommons.org/licenses/by/4.0) and are subject to FAO Statistical Database Terms of Use (https://www.fao.org/contact-us/terms/db-terms-of-use/en)."
"10.4","Release Policy","Open data license","https://creativecommons.org/licenses/by/4.0"
"11.0","Frequency of dissemination","Frequency of dissemination","Annual"
"12.1","Accessibility and clarity","News release","Not applicable"
"12.2","Accessibility and clarity","Publications","1.FAO Statistical Yearbook https://doi.org/10.4060/cd2971en2.Analytical brief https://openknowledge.fao.org/server/api/core/bitstreams/fba4ef43-422c-4d73-886e-3016ff47df52/content"
"12.3","Accessibility and clarity","Online database","https://www.fao.org/faostat/en/#data/QCL"
"12.4","Accessibility and clarity","Micro-data access","Not applicable"
"12.5","Accessibility and clarity","Other formats","No other dissemination format"
"12.6","Accessibility and clarity","Documentation on methodology","National reference metadata are submitted by some countries, but these are not yet disseminated by FAO. No methodological papers, except the classification scheme, have been produced to date."
"13.1","Relevance","User needs","The main users are FAO analysts, other international organizations, ministries and government agencies, agro-industry, trade and professional associations, research institutes and universities, journalists and the general public. The objectives of these users vary, but agricultural production statistics are especially useful for market management/monitoring, production forecasts and policy-making in agriculture and food. FAO is not aware of unmet needs. Users are encouraged to contact the dataset owner for resolving more specific queries that are not addressed elsewhere in these metadata."
"13.2","Relevance","User satisfaction","The latest quality review, the FAOSTAT User Consultation, took place during April-December 2018. Details on the survey methodology and results are available at https://www.fao.org/3/ca7239en/ca7239en.pdf"
"13.3","Relevance","Completeness","The availability of official data reported by countries varies widely. Some countries provide minimal or no data, while others report only on major commodities. Consequently, official data for specific product categories or regions may be incomplete. To create a comprehensive global production dataset, a significant number of data points are imputed. More details on imputation rates and frequencies can be found in Section 20 of these metadata."
"14.1","Accuracy and reliability","Overall accuracy","It is not possible to assess the overall accuracy of the dataset, as the source data is largely collected by member countries. For data that is imputed (including for non-reporting countries or for products for which countries do not collect official data), the accuracy of the imputations is unknown. However, imputation processes are assessed and adjusted on a regular basis."
"14.2","Accuracy and reliability","Model assumption error","Not applicable"
"14.3","Accuracy and reliability","Imputation indicators","Imputation rate - primary crop and livestock products (*):Year  rate2021: 41% 2022: 44%2023: 52%(*) Note that the imputation rate excludes the variable Yield and items offals/skins/fats"
"14.4","Accuracy and reliability","Data revision - policy","Prefilled questionnaires are sent out with reported data for the previous two years (n-1, n-2), which countries are asked to revise when they report data for the new production year."
"14.5","Accuracy and reliability","Data revision - practice","The revised data for n-1 and n-2 are  disseminated concurrently with the initial year n data release.Revisions of historical data have been documented (see 16.2. Comparability over time)."
"15.1","Timeliness and punctuality","Timeliness","The deadline for submitting crop and livestock data to FAO is usually between 4 and 6 months after the end of the reference year. Data are then normally processed and disseminated within 6 months."
"15.2","Timeliness and punctuality","Punctuality","The release is according to the shedule"
"16.1","Coherence and Comparability","Comparability – geographical","There is limited geographical comparability due to differences between countries in methods and coverage, except for regions where countries are bound by regulations mandating harmonized methods, such as EU countries."
"16.2","Coherence and Comparability","Comparability - over time","For shorter time periods, reasonably good comparability over time can be expected, as there is stability in the product definition and classification. However, as the time series are very long (from 1961) full comparability over time cannot be expected.1.Myanmar revised its livestock production data in line with the 2018 National Livestock Baseline Survey. The data are currently revised from the year 2018.2.Bosnia and Herzegovina revised its raw milk of sheep production data due to the new data collection method. The data are currently revised from the year 2021.3.Kazakhstan revised its livestock production data and potato and onion dry production data due to the new data collection method. The data are currently revised from the year 2019.4.India - the data on Tangerines, mandarins, clementines (CPC code 01324) are split from the data on Oranges (CPC code 01323) starting from year 2011;5.Sri Lanka - Meat of sheep, fresh or chilled data (CPC code 21115), considering the low national production of this product, have been aggregated to Meat of goat, fresh or chilled (CPC code 21116).6.Egypt revised its livestock  production data due to the new data collection method. The data are currently revised from the year 2019"
"16.3","Coherence and Comparability","Coherence","Common product classifications (CPC) help to ensure cross-domain coherence. Production data in particularly are related to producer prices, land use, and trade data. Production and trade data have a high cross-domain coherence, these are used as inputs in the food balance sheets, which serves as an additional validation of the data in a single supply and utilization framework."
"16.4","Coherence and Comparability","Classification system","CPC 2.1 Extended and FAO Commodity List  (FCL) - which is an internal FAO classification system"
"17.1","Statistical process","Source data","The main data source is official statistics from FAO member countries. The source data can originate from surveys, administrative data and estimates based on expert observations. Which type of source is used by countries can significantly affect reliability and comparability of data. In nearly all cases where countries provide their official production data, data are recorded as reported by countries. The only exceptions are the application of conversion factors (e.g., if a country reports rice production on a husked rice basis, that production must be converted to a paddy basis), or cases of reporting errors (typically digit errors). In instances where no official data is available, data from unofficial sources (as specialized international commodity institutes i.e. Oil World, USDA etc.) may be used. If no data from either official or unofficial sources is available, data are imputed. In all cases, data are flagged accordingly."
"17.2","Statistical process","Frequency of data collection and acquisition","Yearly"
"17.3","Statistical process","Data collection method","FAO data collection is carried out by a country correspondents in the Member States. The collection run either through annual production questionnaires (APQ) distributed to countries, from national publications (Yearbooks and Pocketbooks) or from official country websites."
"17.4","Statistical process","Data validation","Countries are responsible for transmitting data which have already been checked. Validation at FAO concerns any transmission errors and data consistency checks, as well as outlier detection. Other validations concerns assessing how far the current value is from the earlier data, consistency of totals and partial components and correspondence between variables from different data sets, e.g. between milk production and live animals producing milk."
"17.5","Statistical process","Data compilation","Calculation of item group aggregates; calculation of country groups aggregates"
"17.6","Statistical process","Regional aggregation","The aggregates are calculated at the end of a statistical process. The total amount for a group of units (or all the units) is obtained by summing up the observed values. Yield for the aggregated group is  comptuted as a ratio of the total output to the total input. For example, the global wheat yield corresponds to the global wheat production divided by the global area harvested."
"17.7","Statistical process","Adjustment","The country correspondents are responsible for the data quality. FAO validates and enventually corrects the country data in consultation with them."
"17.8","Statistical process","Imputation","FAO imputation methods are used to impute missing production data since  1991 (Ensemble imputation model for crops and meat data; Hierarchical Linear Model for milk and hen egg  data). Since 2010 production data of the derived commodities are imputed in the framework of the Food Balance Sheet compilation in accordance with the FBS new methodology.The EU member country production data for the primary commodities are obtained from EUROSTAT (with some minor exceptions) from the year 2018. If official EU data are missing in the production domain, then estimates are generated for the aggregates and within the framework of the Food Balances for the calculation of the food availability."
"18.1","Quality management","Quality assurance","FAO is responsible for the quality of the internal statistical processes used to compile the published datasets. The FAO Statistics and Data Quality Assurance Framework (SDQAF), available at: https://openknowledge.fao.org/items/01debb18-63b2-403b-87fe-0eca5409656e,  provides the necessary principles, guidelines and tools to carry out quality assessments. FAO is performing an internal bi-annual survey (FAO Quality Assessment and Planning Survey) designed to gather information on all of FAO’s statistical activities, notably to assess the extent to which quality standards are being implemented with a view to increasing compliance with the quality dimensions of SDQAF, documenting best practices and prepare quality improvement plans, where necessary. Domain-specific quality assurance activities are carried"
"18.2","Quality management","Quality assessment","According to the 2023 Quality Assessment and Planning Survey (QAPS) , This data domain reported a quality score of 0.78 in the 2023 Quality Assessment and Planning Survey (QAPS). According to the QAPS a statistical output is considered of good quality when it reaches a quality score of 0.6 or above."
"19.0","Recommended uses and limitations","Recommended uses and limitations",""
"20.0","Comment","Comment",""
