"Subsection Code","Section","Subsection","Metadata"
"16.3","Coherence and Comparability","Coherence","Coherence - cross domain: The FAOSTAT producer price domain is not always completely coherent with the Producer Prices data disseminated in CountrySTAT for several reasons: different unit of measure, different price concept, and different agencies sourcing the data.The FAOSTAT producer price index is not integrated to other domains at present and therefore coherence is not easily assessed. | Coherence - internal: The compilation of Index data is based on available producer prices and production data is however used as a tool to assess the dataset coherence with other price indicators."
"16.4","Coherence and Comparability","Classification system","FAO Commodity List (an internal FAO classification system)."
"17.1","Statistical process","Source data","The main source is official statistics from FAO member countries.  Most countries report annual prices from surveys, in some cases administered prices are provided. The questionnaire metadata section requests information on the type of source and data collection frequency. No information is requested, and therefore available, on sample sizes at country level."
"17.2","Statistical process","Frequency of data collection and acquisition","Annual"
"17.3","Statistical process","Data collection method","Mostly through annual questionnaires complemented by internet data (Eurostat, some developed countries) and CountrySTAT data.Imputation of missing Price data. Forecast of Index data for t period."
"17.4","Statistical process","Data validation","A first check on completeness and consistency is run as soon as the questionnaires arrive. Information requests are sent to countries. An IT routine compares the old and the new questionnaire data and spots extreme variations. Several routines to spot outliers by comparing countries in the same region or commodities within a group are run before and after the imputation of missing data. Ultimately, the PPI provides the basis for an ultimate check before validation.Index data is validated after the validation of basic producer prices and it is validated against the trends of correlated indicator and/or data."
"17.5","Statistical process","Data compilation","Imputations are made according to FAO Statistical Standard. Four broad classes based on the type of information used: semi-official or non-official sources, auxiliary variables, technical conversion factors and imputation based on statistical and econometric techniques.Price Index is computed by using Laspeyres' formula up to t-1 and is forecasted to t by the means exponential smoothing technique, specifically the Holt-Winter approach."
"17.6","Statistical process","Regional aggregation",""
"17.7","Statistical process","Adjustment","Producer prices data are referred to tons as a standard reference unit of measurement."
"17.8","Statistical process","Imputation",""
"18.1","Quality management","Quality assurance","Quality self-assessments based on Eurostat quality framework carried out annually for the last three years. From 2014 a FAO Statistics Quality Assurance Framework is available (https://www.fao.org/docrep/019/i3664e/i3664e.pdf)"
"18.2","Quality management","Quality assessment","Data quality is uneven across countries. The geographical coverage is incomplete for many items. Uncertainty of and unharmonized price concept adopted by the countries and the point of transaction used to record prices may reduce the overall quality of the Price dataset."
"19.0","Recommended uses and limitations","Recommended uses and limitations",""
"20.0","Comment","Comment",""
